short_code,date,value,amount
PRINCIPAL VNTG7M1,2022-08-05,8.9743,739290570.64
PRINCIPAL VNTG7M1,2022-08-08,9.0161,742734283.33
PRINCIPAL VNTG7M1,2022-08-09,9.0148,742627472.58
PRINCIPAL VNTG7M1,2022-08-10,9.0062,741921761.34
PRINCIPAL VNTG7M1,2022-08-11,8.9713,739044605.27
PRINCIPAL VNTG7M1,2022-08-15,9.1779,756062349.33
PRINCIPAL VNTG7M1,2022-08-16,9.1602,754601160.95
PRINCIPAL VNTG7M1,2022-08-17,9.1993,757822373.86
PRINCIPAL VNTG7M1,2022-08-18,9.194,757385339.69
PRINCIPAL VNTG7M1,2022-08-19,9.1559,754252436.6
PRINCIPAL VNTG7M1,2022-08-22,9.2207,759589094.97
PRINCIPAL VNTG7M1,2022-08-23,9.2471,761763989.7
PRINCIPAL VNTG7M1,2022-08-24,9.2208,759599955.65
PRINCIPAL VNTG7M1,2022-08-25,9.3297,768564805.44
PRINCIPAL VNTG7M1,2022-08-26,9.3639,771388504.62
PRINCIPAL VNTG7M1,2022-08-29,9.2897,765272892.46
PRINCIPAL VNTG7M1,2022-08-30,9.3663,771581161.12
PRINCIPAL VNTG7M1,2022-08-31,9.3422,769594183.95
PRINCIPAL VNTG7M1,2022-09-06,9.28,764470474.57
PRINCIPAL VNTG7M1,2022-09-07,9.0647,746741508.89
PRINCIPAL VNTG7M1,2022-09-08,8.9725,739143468.61
PRINCIPAL VNTG7M1,2022-09-09,9.0411,744793765.91
PRINCIPAL VNTG7M1,2022-09-12,9.0805,748038332.15
PRINCIPAL VNTG7M1,2022-09-13,9.0349,744283942.37
PRINCIPAL VNTG7M1,2022-09-14,9.0287,743771514.08
PRINCIPAL VNTG7M1,2022-09-15,9.0351,744297435.0
PRINCIPAL VNTG7M1,2022-09-16,8.8882,732194858.68
PRINCIPAL VNTG7M1,2022-09-19,8.6792,714978807.05
PRINCIPAL VNTG7M1,2022-09-20,8.7498,720798152.78
PRINCIPAL VNTG7M1,2022-09-21,8.703,716940524.52
PRINCIPAL VNTG7M1,2022-09-22,8.6872,715636697.05
PRINCIPAL VNTG7M1,2022-09-23,8.6002,708469915.98
PRINCIPAL VNTG7M1,2022-09-26,8.3443,687392179.57
PRINCIPAL VNTG7M1,2022-09-27,8.3009,683819628.51
PRINCIPAL VNTG7M1,2022-09-28,8.2355,678429083.9
PRINCIPAL VNTG7M1,2022-09-29,8.1688,672937176.58
PRINCIPAL VNTG7M1,2022-09-30,8.1873,674457149.5
PRINCIPAL VNTG7M1,2022-10-03,7.7434,637894664.86
PRINCIPAL VNTG7M1,2022-10-04,7.6158,627384078.74
PRINCIPAL VNTG7M1,2022-10-05,7.7378,637427973.88
PRINCIPAL VNTG7M1,2022-10-06,7.5395,621092816.73
PRINCIPAL VNTG7M1,2022-10-07,7.1836,591773176.16
PRINCIPAL VNTG7M1,2022-10-11,6.9216,570192805.9
PRINCIPAL VNTG7M1,2022-10-12,7.138,588016052.67
PRINCIPAL VNTG7M1,2022-10-17,7.1417,588324360.45
PRINCIPAL VNTG7M1,2022-10-18,7.1792,591412558.02
PRINCIPAL VNTG7M1,2022-10-19,7.0941,584400275.58
PRINCIPAL VNTG7M1,2022-10-20,7.0893,584005295.0
PRINCIPAL VNTG7M1,2022-10-21,6.725,553995634.33
PRINCIPAL VNTG7M1,2022-10-25,6.4731,533245533.15
PRINCIPAL VNTG7M1,2022-10-26,6.4104,528080613.01
PRINCIPAL VNTG7M1,2022-10-27,6.6662,549152948.71
PRINCIPAL VNTG7M1,2022-10-28,6.6988,551838386.81
PRINCIPAL VNTG7M1,2022-10-31,6.7425,555434957.16
PRINCIPAL VNTG7M1,2022-11-01,6.7658,557354368.07
PRINCIPAL VNTG7M1,2022-11-02,6.6691,549392486.92
PRINCIPAL VNTG7M1,2022-11-03,6.7057,552403946.26
PRINCIPAL VNTG7M1,2022-11-04,6.5217,537250273.02
PRINCIPAL VNTG7M1,2022-11-07,6.2715,516635036.21
PRINCIPAL VNTG7M1,2022-11-08,6.3436,522579460.39
PRINCIPAL VNTG7M1,2022-11-09,6.264,514904253.28
PRINCIPAL VNTG7M1,2022-11-10,5.9983,492147006.88
PRINCIPAL VNTG7M1,2022-11-14,5.9346,486923621.57
PRINCIPAL VNTG7M1,2022-11-15,5.7005,465343790.44
PRINCIPAL VNTG7M1,2022-11-16,5.956,486083086.96
PRINCIPAL VNTG7M1,2022-11-17,6.146,500952950.24
PRINCIPAL VNTG7M1,2022-11-18,6.0921,496557596.85
PRINCIPAL VNTG7M1,2022-11-21,6.0315,490132934.22
PRINCIPAL VNTG7M1,2022-11-22,6.0222,489369683.13
PRINCIPAL VNTG7M1,2022-11-23,6.0545,491999005.78
PRINCIPAL VNTG7M1,2022-11-28,6.4117,520922484.3
PRINCIPAL VNTG7M1,2022-11-29,6.5355,530987789.4
PRINCIPAL VNTG7M1,2022-11-30,6.6274,538445311.95
PRINCIPAL VNTG7M1,2022-12-01,6.5568,532705520.19
PRINCIPAL VNTG7M1,2022-12-02,6.8191,554017442.56
PRINCIPAL VNTG7M1,2022-12-06,6.8388,555483425.96
PRINCIPAL VNTG7M1,2022-12-07,6.7923,551703579.05
PRINCIPAL VNTG7M1,2022-12-08,6.8683,557875330.87
PRINCIPAL VNTG7M1,2022-12-09,6.9826,566813568.67
PRINCIPAL VNTG7M1,2022-12-13,6.9338,562847059.47
PRINCIPAL VNTG7M1,2022-12-14,6.9397,563333213.38
PRINCIPAL VNTG7M1,2022-12-15,7.0465,571995711.11
PRINCIPAL VNTG7M1,2022-12-16,7.0165,569564472.58
PRINCIPAL VNTG7M1,2022-12-19,6.9592,564911909.74
PRINCIPAL VNTG7M1,2022-12-20,6.7978,551805694.46
PRINCIPAL VNTG7M1,2022-12-21,6.8185,553483791.82
PRINCIPAL VNTG7M1,2022-12-22,6.8529,555600558.49
PRINCIPAL VNTG7M1,2022-12-23,6.8829,558027458.55
PRINCIPAL VNTG7M1,2022-12-27,6.6934,542665523.14
PRINCIPAL VNTG7M1,2022-12-28,6.7323,545685605.99
PRINCIPAL VNTG7M1,2022-12-29,6.6691,540562196.04
PRINCIPAL VNTG7M1,2022-12-30,6.6972,542842483.37
PRINCIPAL VNTG7M1,2023-01-03,6.8824,557854320.19
PRINCIPAL VNTG7M1,2023-01-04,6.8805,557694760.97
PRINCIPAL VNTG7M1,2023-01-05,6.9617,564143412.47
PRINCIPAL VNTG7M1,2023-01-06,6.9402,561711190.54
PRINCIPAL VNTG7M1,2023-01-09,6.9292,560820683.74
PRINCIPAL VNTG7M1,2023-01-10,6.926,560563903.06
PRINCIPAL VNTG7M1,2023-01-11,6.9307,560875094.8
PRINCIPAL VNTG7M1,2023-01-12,6.9179,559821071.56
PRINCIPAL VNTG7M1,2023-01-13,6.8944,557235894.26
PRINCIPAL VNTG7M1,2023-01-17,7.1264,575989493.59
PRINCIPAL VNTG7M1,2023-01-18,7.1698,572404073.25
PRINCIPAL VNTG7M1,2023-01-19,7.2162,576108367.94
PRINCIPAL VNTG7M1,2023-01-27,7.2325,577409967.38
PRINCIPAL VNTG7M1,2023-01-30,7.1682,572278426.41
PRINCIPAL VNTG7M1,2023-01-31,7.2669,580146331.33
PRINCIPAL VTOPP-A,2021-11-19,9.9979,1959683206.34
PRINCIPAL VTOPP-A,2021-11-22,10.0661,1973054901.43
PRINCIPAL VTOPP-A,2021-11-23,10.0778,1975340230.38
PRINCIPAL VTOPP-A,2021-11-24,10.2483,2008757072.64
PRINCIPAL VTOPP-A,2021-11-29,10.0391,1967769184.49
PRINCIPAL VTOPP-A,2021-11-30,9.87,1951106343.39
PRINCIPAL VTOPP-A,2021-12-01,9.9562,2029459653.93
PRINCIPAL VTOPP-A,2021-12-02,9.974,2053198115.34
PRINCIPAL VTOPP-A,2021-12-03,9.7931,2029898481.51
PRINCIPAL VTOPP-A,2021-12-07,9.7087,2036255100.88
PRINCIPAL VTOPP-A,2021-12-08,9.7085,2050083521.11
PRINCIPAL VTOPP-A,2021-12-09,9.7967,2101981803.53
PRINCIPAL VTOPP-A,2021-12-13,9.7691,2114360542.71
PRINCIPAL VTOPP-A,2021-12-14,9.7315,2113708640.78
PRINCIPAL VTOPP-A,2021-12-15,9.7166,2112909343.81
PRINCIPAL VTOPP-A,2021-12-16,9.7429,2122788733.68
PRINCIPAL VTOPP-A,2021-12-17,9.774,2133080484.77
PRINCIPAL VTOPP-A,2021-12-20,9.7565,2128745140.34
PRINCIPAL VTOPP-A,2021-12-21,9.8217,2148317414.18
PRINCIPAL VTOPP-A,2021-12-22,9.8112,2150173299.58
PRINCIPAL VTOPP-A,2021-12-23,9.7118,2129175883.99
PRINCIPAL VTOPP-A,2021-12-27,9.8409,2159003249.86
PRINCIPAL VTOPP-A,2021-12-28,9.893,2173854951.14
PRINCIPAL VTOPP-A,2021-12-29,9.8633,2168975441.1
PRINCIPAL VTOPP-A,2021-12-30,9.8811,2173763893.09
PRINCIPAL VTOPP-A,2022-01-04,10.0672,2215957311.36
PRINCIPAL VTOPP-A,2022-01-05,10.0086,2203522917.05
PRINCIPAL VTOPP-A,2022-01-06,10.0457,2211800734.31
PRINCIPAL VTOPP-A,2022-01-07,10.0141,2201499317.51
PRINCIPAL VTOPP-A,2022-01-10,9.9794,2191098424.55
PRINCIPAL VTOPP-A,2022-01-11,9.8419,2159930683.71
PRINCIPAL VTOPP-A,2022-01-12,9.9806,2180500914.4
PRINCIPAL VTOPP-A,2022-01-13,9.9151,2167987830.2
PRINCIPAL VTOPP-A,2022-01-14,9.9596,2172187299.81
PRINCIPAL VTOPP-A,2022-01-18,9.7415,2126040635.55
PRINCIPAL VTOPP-A,2022-01-19,9.7682,2134335797.11
PRINCIPAL VTOPP-A,2022-01-20,9.8026,2143135234.25
PRINCIPAL VTOPP-A,2022-01-21,9.8502,2157326291.14
PRINCIPAL VTOPP-A,2022-01-24,9.7252,2128539829.54
PRINCIPAL VTOPP-A,2022-01-25,9.9486,2164980822.67
PRINCIPAL VTOPP-A,2022-01-26,9.9742,2170251149.19
PRINCIPAL VTOPP-A,2022-01-27,9.9793,2169721953.95
PRINCIPAL VTOPP-A,2022-01-28,10.0019,2173205070.51
PRINCIPAL VTOPP-A,2022-02-07,10.0678,2186773802.52
PRINCIPAL VTOPP-A,2022-02-08,10.0294,2157069107.35
PRINCIPAL VTOPP-A,2022-02-09,10.0598,2157736514.91
PRINCIPAL VTOPP-A,2022-02-10,10.0547,2154509471.91
PRINCIPAL VTOPP-A,2022-02-11,10.0404,2139513937.31
PRINCIPAL VTOPP-A,2022-02-14,9.8074,2089732958.93
PRINCIPAL VTOPP-A,2022-02-15,9.8771,2103954405.98
PRINCIPAL VTOPP-A,2022-02-17,9.8969,2107864145.42
PRINCIPAL VTOPP-A,2022-02-18,9.8414,2095592592.73
PRINCIPAL VTOPP-A,2022-02-22,9.8276,2092381638.39
PRINCIPAL VTOPP-A,2022-02-23,9.8277,2085836541.36
PRINCIPAL VTOPP-A,2022-02-24,9.7153,2061296959.03
PRINCIPAL VTOPP-A,2022-02-25,9.7431,2067802245.48
PRINCIPAL VTOPP-A,2022-02-28,9.679,2054274612.04
PRINCIPAL VTOPP-A,2022-03-01,9.7229,2059665010.03
PRINCIPAL VTOPP-A,2022-03-02,9.6781,2044319878.77
PRINCIPAL VTOPP-A,2022-03-03,9.7899,2066206502.93
PRINCIPAL VTOPP-A,2022-03-04,9.753,2057544344.42
PRINCIPAL VTOPP-A,2022-03-07,9.6575,2023480471.52
PRINCIPAL VTOPP-A,2022-03-08,9.5766,2005450961.79
PRINCIPAL VTOPP-A,2022-03-09,9.6215,2014206697.89
PRINCIPAL VTOPP-A,2022-03-10,9.6191,2013627217.67
PRINCIPAL VTOPP-A,2022-03-11,9.5982,2008506216.38
PRINCIPAL VTOPP-A,2022-03-14,9.5477,1997928430.43
PRINCIPAL VTOPP-A,2022-03-15,9.5848,2005294604.91
PRINCIPAL VTOPP-A,2022-03-16,9.6083,2004873257.82
PRINCIPAL VTOPP-A,2022-03-17,9.6243,2008278060.42
PRINCIPAL VTOPP-A,2022-03-18,9.6444,2001809949.16
PRINCIPAL VTOPP-A,2022-03-21,9.7972,2034064657.92
PRINCIPAL VTOPP-A,2022-03-22,9.8258,2039997888.04
PRINCIPAL VTOPP-A,2022-03-23,9.8235,2027129036.14
PRINCIPAL VTOPP-A,2022-03-24,9.8002,2027529404.76
PRINCIPAL VTOPP-A,2022-03-25,9.7646,2020468436.99
PRINCIPAL VTOPP-A,2022-03-28,9.691,2005338077.54
PRINCIPAL VTOPP-A,2022-03-29,9.7674,2021209895.58
PRINCIPAL VTOPP-A,2022-03-30,9.698,2006921754.09
PRINCIPAL VTOPP-A,2022-03-31,9.7253,2012267405.0
PRINCIPAL VTOPP-A,2022-04-01,9.8741,2040179307.35
PRINCIPAL VTOPP-A,2022-04-04,9.9299,2051756901.61
PRINCIPAL VTOPP-A,2022-04-05,9.8476,2034772776.79
PRINCIPAL VTOPP-A,2022-04-07,9.717,2006084293.16
PRINCIPAL VTOPP-A,2022-04-08,9.6463,1990884162.87
PRINCIPAL VTOPP-A,2022-04-12,9.5475,1974499326.06
PRINCIPAL VTOPP-A,2022-04-18,9.4396,1946870626.8
PRINCIPAL VTOPP-A,2022-04-19,9.3136,1919328220.43
PRINCIPAL VTOPP-A,2022-04-20,9.2984,1926029162.91
PRINCIPAL VTOPP-A,2022-04-21,9.2545,1917144003.76
PRINCIPAL VTOPP-A,2022-04-22,9.3176,1930582633.71
PRINCIPAL VTOPP-A,2022-04-25,8.9145,1846554607.11
PRINCIPAL VTOPP-A,2022-04-26,9.1218,1889531051.42
PRINCIPAL VTOPP-A,2022-04-27,9.163,1897569251.2
PRINCIPAL VTOPP-A,2022-04-28,9.1741,1900719565.44
PRINCIPAL VTOPP-A,2022-04-29,9.1559,1896052221.3
PRINCIPAL VTOPP-A,2022-05-05,9.0553,1875116178.96
PRINCIPAL VTOPP-A,2022-05-06,8.9469,1852658801.96
PRINCIPAL VTOPP-A,2022-05-09,8.6695,1794930587.33
PRINCIPAL VTOPP-A,2022-05-10,8.7934,1820607405.03
PRINCIPAL VTOPP-A,2022-05-11,8.8613,1829920729.66
PRINCIPAL VTOPP-A,2022-05-12,8.5179,1759121365.12
PRINCIPAL VTOPP-A,2022-05-13,8.2649,1708684108.19
PRINCIPAL VTOPP-A,2022-05-17,8.5119,1759000350.68
PRINCIPAL VTOPP-A,2022-05-18,8.5722,1771481571.91
PRINCIPAL VTOPP-A,2022-05-19,8.6281,1783010212.1
PRINCIPAL VTOPP-A,2022-05-20,8.523,1761302456.89
PRINCIPAL VTOPP-A,2022-05-23,8.438,1743736748.37
PRINCIPAL VTOPP-A,2022-05-24,8.5147,1759657068.65
PRINCIPAL VTOPP-A,2022-05-25,8.7138,1801299451.81
PRINCIPAL VTOPP-A,2022-05-26,8.7476,1808456982.16
PRINCIPAL VTOPP-A,2022-05-27,8.8616,1832891471.09
PRINCIPAL VTOPP-A,2022-05-31,8.9192,1844751465.44
PRINCIPAL VTOPP-A,2022-06-01,8.9582,1851508340.67
PRINCIPAL VTOPP-A,2022-06-02,8.9141,1842415969.45
PRINCIPAL VTOPP-A,2022-06-06,8.9231,1844383903.16
PRINCIPAL VTOPP-A,2022-06-07,8.9268,1846274539.87
PRINCIPAL VTOPP-A,2022-06-08,9.0548,1872748451.18
PRINCIPAL VTOPP-A,2022-06-09,9.045,1848877415.64
PRINCIPAL VTOPP-A,2022-06-10,8.9828,1831654113.56
PRINCIPAL VTOPP-A,2022-06-13,8.5888,1751075412.6
PRINCIPAL VTOPP-A,2022-06-14,8.6498,1762972679.64
PRINCIPAL VTOPP-A,2022-06-15,8.6184,1756448100.34
PRINCIPAL VTOPP-A,2022-06-16,8.6448,1761752680.18
PRINCIPAL VTOPP-A,2022-06-17,8.632,1759153418.52
PRINCIPAL VTOPP-A,2022-06-21,8.4234,1715100253.79
PRINCIPAL VTOPP-A,2022-06-22,8.4143,1711756555.16
PRINCIPAL VTOPP-A,2022-06-23,8.5062,1729111370.42
PRINCIPAL VTOPP-A,2022-06-24,8.483,1724404916.2
PRINCIPAL VTOPP-A,2022-06-27,8.5888,1745927214.23
PRINCIPAL VTOPP-A,2022-06-28,8.6872,1766082260.3
PRINCIPAL VTOPP-A,2022-06-29,8.6931,1767013898.29
PRINCIPAL VTOPP-A,2022-06-30,8.573,1742584564.72
PRINCIPAL VTOPP-A,2022-07-01,8.6374,1755472314.02
PRINCIPAL VTOPP-A,2022-07-05,8.474,1720339485.68
PRINCIPAL VTOPP-A,2022-07-06,8.358,1696640829.62
PRINCIPAL VTOPP-A,2022-07-07,8.4723,1722847247.37
PRINCIPAL VTOPP-A,2022-07-08,8.4481,1718240623.38
PRINCIPAL VTOPP-A,2022-07-11,8.388,1705587652.38
PRINCIPAL VTOPP-A,2022-07-12,8.4497,1718147060.6
PRINCIPAL VTOPP-A,2022-07-14,8.5322,1732880057.17
PRINCIPAL VTOPP-A,2022-07-15,8.5004,1726339378.47
PRINCIPAL VTOPP-A,2022-07-18,8.5076,1716962278.01
PRINCIPAL VTOPP-A,2022-07-19,8.4567,1706591900.64
PRINCIPAL VTOPP-A,2022-07-20,8.5655,1728532028.22
PRINCIPAL VTOPP-A,2022-07-21,8.666,1748200230.08
PRINCIPAL VTOPP-A,2022-07-22,8.6431,1742977243.82
PRINCIPAL VTOPP-A,2022-07-25,8.6114,1736549568.83
PRINCIPAL VTOPP-A,2022-07-26,8.6117,1737432118.74
PRINCIPAL VTOPP-A,2022-07-27,8.6556,1746289350.15
PRINCIPAL VTOPP-A,2022-08-01,8.8057,1777041819.08
PRINCIPAL VTOPP-A,2022-08-02,8.8232,1780804430.25
PRINCIPAL VTOPP-A,2022-08-03,8.8559,1787311102.4
PRINCIPAL VTOPP-A,2022-08-04,8.8356,1777910093.8
PRINCIPAL VTOPP-A,2022-08-05,8.7824,1763022605.03
PRINCIPAL VTOPP-A,2022-08-08,8.8452,1775684900.37
PRINCIPAL VTOPP-A,2022-08-09,8.8233,1771331359.89
PRINCIPAL VTOPP-A,2022-08-10,8.8191,1770501838.57
PRINCIPAL VTOPP-A,2022-08-11,8.7666,1759962906.07
PRINCIPAL VTOPP-A,2022-08-15,8.9529,1796446872.49
PRINCIPAL VTOPP-A,2022-08-16,8.9309,1792017949.96
PRINCIPAL VTOPP-A,2022-08-17,8.9587,1797409948.53
PRINCIPAL VTOPP-A,2022-08-18,8.9746,1800463175.3
PRINCIPAL VTOPP-A,2022-08-19,8.919,1789309534.46
PRINCIPAL VTOPP-A,2022-08-22,8.979,1801286369.47
PRINCIPAL VTOPP-A,2022-08-23,9.039,1813519369.51
PRINCIPAL VTOPP-A,2022-08-24,9.0243,1810584623.34
PRINCIPAL VTOPP-A,2022-08-25,9.1112,1830010843.99
PRINCIPAL VTOPP-A,2022-08-26,9.1226,1832271785.94
PRINCIPAL VTOPP-A,2022-08-29,9.0698,1821655550.56
PRINCIPAL VTOPP-A,2022-08-30,9.0996,1827205556.27
PRINCIPAL VTOPP-A,2022-08-31,9.1027,1827847441.73
PRINCIPAL VTOPP-A,2022-09-06,9.0565,1818588920.41
PRINCIPAL VTOPP-A,2022-09-07,8.8578,1778170088.38
PRINCIPAL VTOPP-A,2022-09-08,8.7907,1764717541.95
PRINCIPAL VTOPP-A,2022-09-09,8.8556,1777759525.93
PRINCIPAL VTOPP-A,2022-09-12,8.8904,1784472594.84
PRINCIPAL VTOPP-A,2022-09-13,8.8848,1783315400.92
PRINCIPAL VTOPP-A,2022-09-14,8.8415,1774667918.17
PRINCIPAL VTOPP-A,2022-09-15,8.8425,1774868110.33
PRINCIPAL VTOPP-A,2022-09-16,8.7606,1758257488.95
PRINCIPAL VTOPP-A,2022-09-19,8.5737,1721718791.47
PRINCIPAL VTOPP-A,2022-09-20,8.6608,1739228567.64
PRINCIPAL VTOPP-A,2022-09-21,8.6021,1727447729.33
PRINCIPAL VTOPP-A,2022-09-22,8.6168,1729859627.9
PRINCIPAL VTOPP-A,2022-09-23,8.5265,1711742013.96
PRINCIPAL VTOPP-A,2022-09-26,8.3209,1670462798.43
PRINCIPAL VTOPP-A,2022-09-27,8.333,1672074550.99
PRINCIPAL VTOPP-A,2022-09-28,8.2685,1649882548.84
PRINCIPAL VTOPP-A,2022-09-29,8.1785,1632606985.86
PRINCIPAL VTOPP-A,2022-09-30,8.1975,1635409998.84
PRINCIPAL VTOPP-A,2022-10-03,7.7902,1553784650.35
PRINCIPAL VTOPP-A,2022-10-04,7.7117,1537871011.3
PRINCIPAL VTOPP-A,2022-10-05,7.8287,1560557460.89
PRINCIPAL VTOPP-A,2022-10-06,7.6224,1519484731.3
PRINCIPAL VTOPP-A,2022-10-07,7.3404,1463374468.52
PRINCIPAL VTOPP-A,2022-10-11,7.1639,1428183204.46
PRINCIPAL VTOPP-A,2022-10-12,7.3535,1465811794.04
PRINCIPAL VTOPP-A,2022-10-17,7.4093,1476369710.41
PRINCIPAL VTOPP-A,2022-10-18,7.4752,1488938289.04
PRINCIPAL VTOPP-A,2022-10-19,7.4159,1476791788.88
PRINCIPAL VTOPP-A,2022-10-20,7.4425,1482107657.97
PRINCIPAL VTOPP-A,2022-10-21,7.1478,1423434430.24
PRINCIPAL VTOPP-A,2022-10-25,6.9818,1390387722.66
PRINCIPAL VTOPP-A,2022-10-26,6.9223,1377905192.03
PRINCIPAL VTOPP-A,2022-10-27,7.1431,1421854243.18
PRINCIPAL VTOPP-A,2022-10-28,7.1603,1425046080.93
PRINCIPAL VTOPP-A,2022-10-31,7.1851,1430006815.93
PRINCIPAL VTOPP-A,2022-11-01,7.2306,1439222462.37
PRINCIPAL VTOPP-A,2022-11-02,7.1129,1415807296.35
PRINCIPAL VTOPP-A,2022-11-03,7.1701,1386329852.5
PRINCIPAL VTOPP-A,2022-11-04,7.025,1358269938.76
PRINCIPAL VTOPP-A,2022-11-07,6.831,1311356915.93
PRINCIPAL VTOPP-A,2022-11-08,6.9227,1328971099.87
PRINCIPAL VTOPP-A,2022-11-09,6.8908,1322885671.54
PRINCIPAL VTOPP-A,2022-11-10,6.6944,1280911087.77
PRINCIPAL VTOPP-A,2022-11-14,6.6701,1276266353.86
PRINCIPAL VTOPP-A,2022-11-15,6.4693,1235169770.38
PRINCIPAL VTOPP-A,2022-11-16,6.6603,1268233689.6
PRINCIPAL VTOPP-A,2022-11-17,6.811,1292746539.69
PRINCIPAL VTOPP-A,2022-11-18,6.791,1277956448.19
PRINCIPAL VTOPP-A,2022-11-21,6.7579,1269343417.28
PRINCIPAL VTOPP-A,2022-11-22,6.729,1263889989.67
PRINCIPAL VTOPP-A,2022-11-23,6.7647,1270605033.4
PRINCIPAL VTOPP-A,2022-11-28,6.9907,1313072401.41
PRINCIPAL VTOPP-A,2022-11-29,7.0767,1322427192.63
PRINCIPAL VTOPP-A,2022-11-30,7.1667,1339336904.34
PRINCIPAL VTOPP-A,2022-12-01,7.1526,1336253455.06
